"Lipid","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"PC 38_7",1344523.83910714,1455147.53910714,2801262.88214286,1238585.74196429,999381.5375,935039.595,557535.656428571,1238585.74196429
"PC 30_1",12525.6698714286,22098.5183035714,18418.6395375,11919.7666446429,9978.52117321429,9632.68153035714,9978.52117321429,19149.8252196429
"PC 36_0",285735.851553571,356514.397125,254837.76625,244054.326071429,466853.517017857,285735.851553571,209614.510892857,254837.76625
"PC 40_5",12103.1438910714,19427.3070232143,16072.8131107143,21368.9445339286,23860.7347321429,22098.5183035714,9162.38664107143,7839.17797125
"PC 42_9",45819.6608571429,75241.3308392857,33679.5103964286,75241.3308392857,124379.788517857,109260.486,67612.5251964286,46409.6795535714
"PC 40_6",55779.1466964286,71082.6420714286,40242.4034642857,100624.498053571,134815.647321429,127822.838035714,77117.3579964286,48807.5821428571
"PC 32_1",1060267.31625,1961062.5375,1565259.17232143,1565259.17232143,1768669.68571429,1455147.53910714,1238585.74196429,1768669.68571429
"PC 40_7",1961062.5375,2502717.17142857,2502717.17142857,2172575.53660714,2502717.17142857,1961062.5375,1565259.17232143,1961062.5375
"PC 36_3",35861359.5714286,35861359.5714286,35861359.5714286,35861359.5714286,35861359.5714286,35861359.5714286,35861359.5714286,35861359.5714286
"PC 42_11",45078.8297857143,43779.5852857143,25881.2709928571,38668.3322857143,49582.7215642857,48079.1544821429,28788.7575339286,48079.1544821429
"PC 42_3",10837.8805821429,17724.6697839286,14556.9376785714,8251.11858571429,11367.4251125,10837.8805821429,16072.8131107143,16072.8131107143
"PC 40_10",75241.3308392857,89692.7647232143,82903.4760714286,86236.0747321428,43779.5852857143,51795.0621428571,37552.3767678571,79935.5262642857
"PC 36_4",1455147.53910714,1565259.17232143,2172575.53660714,1344523.83910714,881327.144642857,881327.144642857,606468.134892857,1060267.31625
"PC 42_2",17724.6697839286,16072.8131107143,14944.7673089286,9295.57433928571,6439.62519160714,14556.9376785714,19652.5736517857,8251.11858571429
"PC 42_8",10133.1685892857,16998.0356178571,15215.9790660714,14400.1318625,21075.5921428571,21075.5921428571,7347.25012964286,7701.63170017857
"PC 44_4",13253.6211178571,7497.03831660714,11919.7666446429,4543.34497678571,5724.02211196429,10487.4956032143,4665.46998178571,6551.378575
